iter	MultiClass
0	2.853488814
1	2.632982331
2	2.472085951
3	2.350378498
4	2.255381307
5	2.175956094
6	2.111526433
7	2.056879767
8	2.009851845
9	1.969042718
10	1.933732404
11	1.902609688
12	1.875819378
13	1.852640986
14	1.831098729
15	1.812848838
16	1.798492494
17	1.785186135
18	1.772464363
19	1.761015938
20	1.753594131
21	1.746174269
22	1.737727333
23	1.73114449
24	1.725487661
25	1.722675631
26	1.72012791
27	1.717343469
28	1.712411932
29	1.708774751
30	1.704989441
31	1.702501645
32	1.700332529
33	1.698243271
34	1.698132459
35	1.697452153
36	1.695055804
37	1.694798702
38	1.693429738
39	1.691732773
40	1.691419512
41	1.690186954
42	1.688914414
43	1.687371649
44	1.687239853
45	1.686427584
46	1.685872543
47	1.68432866
48	1.683978274
49	1.6838543
50	1.683667001
51	1.682278462
52	1.682059539
53	1.681819452
54	1.681730166
55	1.680014011
56	1.679068571
57	1.678630649
58	1.678531914
59	1.677162296
60	1.675964669
61	1.675731276
62	1.674975322
63	1.674969103
64	1.674889281
65	1.674400215
66	1.672681334
67	1.672458004
68	1.672379147
69	1.672034633
70	1.67133405
71	1.671209174
72	1.671084415
73	1.670796576
74	1.670698336
75	1.669420616
76	1.669333427
77	1.668293513
78	1.667262972
79	1.665741065
80	1.665634446
81	1.66550283
82	1.665425683
83	1.665375674
84	1.665022129
85	1.66379371
86	1.663505431
87	1.663449741
88	1.662374981
89	1.661848864
90	1.661719552
91	1.661669576
92	1.661414265
93	1.661064006
94	1.660840674
95	1.660382468
96	1.66015911
97	1.659969721
98	1.658759778
99	1.658541901
100	1.657923849
101	1.657678023
102	1.657557998
