iter	Passed	Remaining
0	12410	6192711
1	29878	7439628
2	47870	7930578
3	64711	8024178
4	81800	8098211
5	110131	9067511
6	128295	9035667
7	144090	8861553
8	161791	8826642
9	179483	8794696
10	196730	8745562
11	210420	8557091
12	229156	8584537
13	247807	8602453
14	264511	8552525
15	281334	8510371
16	291518	8282560
17	312651	8372101
18	331785	8399401
19	341591	8198192
20	363488	8291007
21	381005	8278199
22	401737	8331683
23	420453	8338985
24	445037	8455719
25	472578	8615460
26	500487	8767796
27	528092	8902135
28	550842	8946436
29	573941	8991744
30	598049	9047910
31	626247	9158863
32	654812	9266595
33	678857	9304345
34	706541	9386912
35	735256	9476641
36	762125	9536863
37	789986	9604566
38	818060	9669895
39	844295	9709403
40	871145	9752579
41	885020	9650939
42	913681	9710524
43	955823	9905802
44	986042	9969983
45	1019259	10059650
46	1050988	10129736
47	1079455	10164868
48	1105466	10174804
49	1133308	10199775
50	1161470	10225491
51	1188880	10242659
52	1215968	10255430
53	1246330	10293764
54	1274865	10314818
55	1279844	10147341
56	1310013	10181336
57	1338587	10200961
58	1363850	10194204
59	1395411	10233017
60	1425808	10261148
61	1449103	10237215
62	1474787	10229877
63	1483081	10103493
64	1510729	10110266
65	1535519	10097205
66	1565906	10119960
67	1597701	10150103
68	1627051	10163174
69	1653652	10158150
70	1684668	10179191
71	1713903	10188201
72	1742238	10190902
73	1769559	10186923
74	1795502	10174514
75	1823294	10172062
76	1851981	10173875
77	1880154	10172120
78	1911090	10184418
79	1941283	10191738
80	1969157	10186133
81	1996443	10176993
82	2026144	10179544
83	2054799	10176151
84	2083871	10174197
85	2114699	10180064
86	2142864	10172450
87	2171844	10168178
88	2199582	10157623
89	2228357	10151405
90	2254516	10132937
91	2283291	10125900
92	2314712	10129977
93	2341460	10113114
94	2369090	10099807
95	2394815	10078180
96	2422493	10064586
97	2451606	10056589
98	2480745	10048273
99	2513360	10053443
100	2540320	10035523
101	2569009	10024174
102	2598086	10013982
